Episode,Avg_Reward,Avg_Q0,Avg_J_Value,Max_Coverage,Action1_Ratio,Valid_Assign_Rate,Sat_Rate,Avg_Angle,Loss_Critic,Loss_Actor,Entropy
10,-100.2485,-0.9624,0.0000,8,0.5053,0.1667,0.9731,0.1927,752.301571,-0.000978,0.690256
20,-56.2987,-3.4827,0.0000,13,0.4943,0.3023,0.9686,-0.0396,0.000000,0.000000,0.000000
30,-32.4087,-2.3914,0.0000,10,0.3086,0.4000,0.9577,-0.2344,0.000000,0.000000,0.000000
40,-19.2267,-0.5163,0.0000,14,0.2966,0.4000,0.9504,0.0418,0.000000,0.000000,0.000000
50,-12.3673,1.1281,0.0000,17,0.3025,0.4722,1.0000,0.1478,0.000000,0.000000,0.000000
60,19.4767,3.3050,0.0000,14,0.3043,0.5000,0.9944,0.0557,0.000000,0.000000,0.000000
70,33.5025,6.9836,0.0000,12,0.2348,0.3871,0.9952,0.0628,0.000000,0.000000,0.000000
80,43.5181,9.9675,0.0000,17,0.2500,0.5667,1.0000,0.4396,0.000000,0.000000,0.000000
90,56.5427,12.4125,0.0000,18,0.2126,0.6667,1.0000,-0.0483,0.000000,0.000000,0.000000
100,68.9748,14.9112,0.0000,11,0.1525,0.6111,1.0000,-0.0311,0.000000,0.000000,0.000000
110,72.7654,17.7465,0.0000,21,0.2232,0.8400,1.0000,-0.0979,0.000000,0.000000,0.000000
120,87.3880,20.9505,0.0000,21,0.2000,0.9545,0.9955,-0.1332,0.000000,0.000000,0.000000
130,98.1943,24.3789,0.0000,13,0.1163,0.8667,0.9839,0.1059,0.000000,0.000000,0.000000
140,99.9277,28.1433,0.0000,15,0.1574,0.8824,0.9933,-0.4247,0.000000,0.000000,0.000000
150,106.5429,32.2329,0.0000,20,0.1858,0.9524,1.0000,0.1820,0.000000,0.000000,0.000000
160,115.9525,36.2687,0.0000,13,0.1875,0.7222,1.0000,0.0751,0.000000,0.000000,0.000000
170,114.9465,40.3139,0.0000,18,0.1667,0.8571,1.0000,0.2519,0.000000,0.000000,0.000000
180,113.3767,44.8619,0.0000,19,0.2603,1.0000,0.9864,-0.1313,0.000000,0.000000,0.000000
190,120.5296,49.4790,0.0000,16,0.1682,0.8889,1.0000,0.3550,0.000000,0.000000,0.000000
200,123.2119,54.0089,0.0000,20,0.2019,0.9524,1.0000,0.1683,0.000000,0.000000,0.000000
210,124.7397,58.6578,0.0000,15,0.1271,1.0000,0.9836,0.0834,0.000000,0.000000,0.000000
220,125.5380,63.4020,0.0000,15,0.1210,1.0000,0.9852,0.2041,0.000000,0.000000,0.000000
230,127.0348,67.9019,0.0000,12,0.1057,0.9231,1.0000,-0.2236,0.000000,0.000000,0.000000
240,122.4658,69.8771,0.0000,10,0.1413,0.7692,1.0000,0.3990,0.000000,0.000000,0.000000
250,123.3706,71.9446,0.0000,12,0.0963,0.9231,1.0000,-0.0978,155.106063,-0.001102,0.096337
260,121.3045,73.6708,0.0000,13,0.1321,0.9286,1.0000,0.1152,151.803279,-0.002846,0.083482
270,122.6240,74.6425,0.0000,13,0.1120,0.9286,0.9950,0.0724,0.000000,0.000000,0.000000
280,124.2842,74.9931,0.0000,12,0.1048,0.9231,1.0000,-0.2006,0.000000,0.000000,0.000000
290,130.6347,77.4937,0.0000,12,0.1327,0.9231,0.9944,-0.0364,0.000000,0.000000,0.000000
300,136.0379,79.7747,0.0000,18,0.2400,1.0000,0.9857,0.1176,0.000000,0.000000,0.000000
310,139.1497,83.2085,0.0000,12,0.0930,1.0000,1.0000,0.1600,176.711488,-0.000115,0.077743
320,136.2119,86.8663,0.0000,17,0.2000,1.0000,1.0000,-0.0278,0.000000,0.000000,0.000000
330,139.5138,89.7316,0.0000,17,0.1429,1.0000,1.0000,0.0098,0.000000,0.000000,0.000000
340,135.5342,93.0556,0.0000,16,0.1600,1.0000,1.0000,0.0536,0.000000,0.000000,0.000000
350,128.4562,95.0480,0.0000,16,0.1478,0.9412,0.9850,0.1101,0.000000,0.000000,0.000000
360,126.9004,96.2059,0.0000,10,0.0840,1.0000,1.0000,0.0066,171.872653,-0.001500,0.048182
370,126.8867,96.8877,0.0000,11,0.0948,1.0000,1.0000,0.0308,0.000000,0.000000,0.000000
380,125.1553,97.5069,0.0000,9,0.0738,1.0000,1.0000,-0.3828,0.000000,0.000000,0.000000
390,125.3488,96.7645,0.0000,17,0.1504,1.0000,1.0000,-0.2391,0.000000,0.000000,0.000000
400,130.8391,97.8548,0.0000,17,0.1604,1.0000,0.9947,0.2108,0.000000,0.000000,0.000000
410,132.4609,98.3886,0.0000,18,0.2278,1.0000,1.0000,-0.1093,0.000000,0.000000,0.000000
420,133.2120,99.3548,0.0000,10,0.0725,1.0000,1.0000,-0.2331,0.000000,0.000000,0.000000
430,130.2137,101.7543,0.0000,17,0.1518,1.0000,0.9955,-0.2023,0.000000,0.000000,0.000000
440,132.3892,104.5676,0.0000,18,0.2143,1.0000,1.0000,0.0298,0.000000,0.000000,0.000000
450,128.3498,105.9143,0.0000,20,0.1905,1.0000,1.0000,0.2255,0.000000,0.000000,0.000000
460,125.0062,107.1856,0.0000,9,0.0978,1.0000,1.0000,-0.0055,0.000000,0.000000,0.000000
470,128.1975,108.4596,0.0000,14,0.1250,1.0000,1.0000,0.0134,0.000000,0.000000,0.000000
480,130.2687,108.9562,0.0000,17,0.1771,1.0000,0.9757,0.1166,0.000000,0.000000,0.000000
490,134.3371,108.0540,0.0000,17,0.2000,1.0000,0.9895,0.0484,238.807315,-0.006689,0.075091
500,136.3191,107.7084,0.0000,18,0.2022,1.0000,0.9844,0.0818,138.108407,-0.002902,0.071581
510,135.3778,108.1684,0.0000,16,0.1240,1.0000,0.9937,0.2549,136.684263,0.001925,0.062065
520,133.9698,106.3564,0.0000,11,0.0991,1.0000,1.0000,-0.1077,180.892205,-0.001476,0.064869
530,133.7563,106.2791,0.0000,19,0.2667,0.9500,1.0000,-0.0838,0.000000,0.000000,0.000000
540,131.4403,107.3880,0.0000,19,0.2500,1.0000,1.0000,-0.1139,0.000000,0.000000,0.000000
550,132.8555,108.9125,0.0000,15,0.1875,1.0000,1.0000,0.3062,0.000000,0.000000,0.000000
560,131.5701,108.8552,0.0000,21,0.1875,1.0000,1.0000,0.1943,0.000000,0.000000,0.000000
570,129.4976,108.0405,0.0000,10,0.1075,1.0000,0.9947,-0.0924,0.000000,0.000000,0.000000
580,130.1333,107.4157,0.0000,17,0.1560,1.0000,1.0000,0.0406,0.000000,0.000000,0.000000
590,129.8329,106.8703,0.0000,16,0.2192,1.0000,1.0000,-0.1033,0.000000,0.000000,0.000000
600,122.5716,105.3811,0.0000,12,0.1062,1.0000,0.9749,0.1976,0.000000,0.000000,0.000000
610,124.7292,104.1606,0.0000,13,0.1321,0.9286,1.0000,-0.2707,0.000000,0.000000,0.000000
620,126.8933,105.7788,0.0000,18,0.2500,0.9474,1.0000,0.0376,0.000000,0.000000,0.000000
630,124.3278,105.7771,0.0000,17,0.1789,1.0000,1.0000,-0.0075,0.000000,0.000000,0.000000
640,120.6832,105.7403,0.0000,10,0.0741,1.0000,1.0000,0.0484,0.000000,0.000000,0.000000
650,121.3622,105.0044,0.0000,9,0.1059,1.0000,1.0000,-0.0504,0.000000,0.000000,0.000000
660,121.8791,104.8149,0.0000,11,0.1038,1.0000,1.0000,0.0468,0.000000,0.000000,0.000000
670,120.5785,105.5466,0.0000,21,0.2234,1.0000,1.0000,0.1916,0.000000,0.000000,0.000000
680,122.2578,105.4751,0.0000,17,0.1453,1.0000,1.0000,-0.2630,0.000000,0.000000,0.000000
690,123.2236,104.9039,0.0000,19,0.1681,1.0000,1.0000,0.0080,0.000000,0.000000,0.000000
700,129.0889,105.1655,0.0000,11,0.0894,1.0000,0.9905,-0.1063,0.000000,0.000000,0.000000
710,131.2773,105.5520,0.0000,18,0.1496,0.9474,1.0000,-0.1334,0.000000,0.000000,0.000000
720,131.0399,104.7468,0.0000,17,0.1604,1.0000,0.9952,0.0020,0.000000,0.000000,0.000000
730,131.1527,104.7874,0.0000,20,0.2273,1.0000,1.0000,-0.1126,0.000000,0.000000,0.000000
740,131.9945,105.3511,0.0000,13,0.1040,1.0000,1.0000,0.2416,0.000000,0.000000,0.000000
750,126.6867,106.0475,0.0000,15,0.1327,1.0000,1.0000,0.0324,0.000000,0.000000,0.000000
760,128.7335,105.4362,0.0000,14,0.1129,1.0000,1.0000,-0.1094,0.000000,0.000000,0.000000
770,129.7443,106.0269,0.0000,11,0.0938,0.9167,1.0000,-0.5787,0.000000,0.000000,0.000000
780,131.0673,106.4681,0.0000,13,0.1585,1.0000,1.0000,-0.1423,0.000000,0.000000,0.000000
790,130.7218,104.7973,0.0000,10,0.1149,1.0000,1.0000,0.0316,0.000000,0.000000,0.000000
800,135.4954,103.1846,0.0000,17,0.1393,1.0000,0.9952,-0.0809,0.000000,0.000000,0.000000
810,131.2774,103.5658,0.0000,11,0.0821,1.0000,0.9895,-0.4634,0.000000,0.000000,0.000000
820,131.1368,103.5647,0.0000,20,0.1923,1.0000,0.9950,-0.0449,0.000000,0.000000,0.000000
830,131.4143,102.5104,0.0000,13,0.1040,1.0000,0.9950,-0.0502,0.000000,0.000000,0.000000
840,132.6956,104.0721,0.0000,12,0.1500,1.0000,0.9773,-0.3252,0.000000,0.000000,0.000000
850,131.1153,105.8668,0.0000,13,0.1140,1.0000,1.0000,0.1453,122.470825,0.005593,0.064711
860,136.6023,106.2580,0.0000,23,0.3594,1.0000,0.9941,0.1890,0.000000,0.000000,0.000000
870,134.3120,106.4105,0.0000,13,0.1161,1.0000,1.0000,-0.0867,0.000000,0.000000,0.000000
880,135.3160,106.6506,0.0000,18,0.1500,1.0000,0.9950,0.0509,0.000000,0.000000,0.000000
