Episode,Train_Reward,Greedy_Reward,L_Actor,L_Critic,Entropy,Mode
100,16.515788757229366,5.693286257977418,0,0,0,EASY
200,18.86160666073673,15.702037758557008,0.1326118279248476,136.71980476379395,0.9129096567630768,EASY
300,20.23690829285118,20.866011856323137,0.14301231130957603,179.94363403320312,0.9669700711965561,EASY
400,22.829096785466312,19.134088225247673,0.1110294982790947,200.10200119018555,0.9652398377656937,EASY
500,21.725910957035335,23.767137321343625,0.1110294982790947,200.10200119018555,0.9652398377656937,EASY
600,20.734110421307324,19.140092451632093,0.13504080474376678,173.56779861450195,0.9556012004613876,EASY
700,21.119579238105842,16.792472754872215,0.18531207367777824,139.12261962890625,0.9443905204534531,EASY
800,21.195311007786795,14.389405450698138,0.1518334597349167,129.82412338256836,0.9464532434940338,EASY
900,21.57921426283967,16.790983162824425,0.1417047493159771,134.15868759155273,0.9444681853055954,EASY
1000,20.743632590524875,14.505955313322037,0.1417047493159771,134.15868759155273,0.9444681853055954,EASY
1100,21.253773399660894,13.3366177775751,0.1466236636042595,103.68276977539062,0.9379490166902542,EASY
1200,21.038220901499276,14.243159442484075,0.1273737344890833,92.21237182617188,0.9396404027938843,EASY
1300,21.765754114264222,14.31521037165509,0.13987986743450165,86.98927879333496,0.9427400529384613,EASY
1400,20.91908235487728,16.925723358392368,0.13987986743450165,86.98927879333496,0.9427400529384613,EASY
1500,20.86071159759384,14.581805913155833,0.1337684653699398,81.830810546875,0.9446762651205063,EASY
1600,21.285146643747616,17.577149074087096,0.14651687070727348,58.56427574157715,0.9461695551872253,EASY
1700,20.819317318983323,17.36479167240596,0.14405537024140358,60.30831336975098,0.9544389545917511,EASY
1800,21.93661657467567,17.57207140143356,0.13172117620706558,54.49611759185791,0.9560126960277557,EASY
1900,20.603406210964593,18.098457445252176,0.13172117620706558,54.49611759185791,0.9560126960277557,EASY
2000,20.918887132101595,18.8005363136798,0.17459329590201378,41.54521369934082,0.9603209346532822,EASY
2100,21.038981111595998,16.469822594912323,0.15511200949549675,32.962392807006836,0.9497228115797043,EASY
2200,20.716743606783684,15.860438933691322,0.1435229405760765,28.11183214187622,0.9579028636217117,EASY
2300,21.097006246327975,20.051342969745992,0.1435229405760765,28.11183214187622,0.9579028636217117,EASY
